time	V(n004)	V(n005)
3.044612588911644e-004	2.167045e-003	-1.391454e-003
3.084612588910574e-004	4.055042e-003	-2.616632e-003
3.124612588909503e-004	5.879060e-003	-3.800543e-003
3.164612588908433e-004	7.610341e-003	-4.924519e-003
3.204612588907363e-004	9.221586e-003	-5.970831e-003
3.244612588906293e-004	1.068740e-002	-6.922980e-003
3.284612588905223e-004	1.198466e-002	-7.765949e-003
3.324612588904152e-004	1.309293e-002	-8.486444e-003
3.364612588903082e-004	1.399474e-002	-9.073104e-003
3.404612588902012e-004	1.467587e-002	-9.516675e-003
3.444612588900942e-004	1.512559e-002	-9.810163e-003
3.484612588899871e-004	1.533732e-002	-9.949268e-003
3.524277019353317e-004	1.530797e-002	-9.931948e-003
3.564277019352247e-004	1.503751e-002	-9.758184e-003
3.604277019351176e-004	1.453045e-002	-9.430856e-003
3.644277019350106e-004	1.379427e-002	-8.954800e-003
3.684277019349036e-004	1.284057e-002	-8.337520e-003
3.724277019347966e-004	1.168438e-002	-7.588753e-003
3.764277019346896e-004	1.034394e-002	-6.720306e-003
3.804277019345825e-004	8.840363e-003	-5.745877e-003
3.844277019344755e-004	7.197363e-003	-4.680831e-003
3.884277019343685e-004	5.440840e-003	-3.541966e-003
3.924277019342615e-004	3.598488e-003	-2.347242e-003
4.004277019340474e-004	-2.266070e-004	1.338327e-004
4.044277019339404e-004	-2.149029e-003	1.381056e-003
4.084277019338334e-004	-4.037592e-003	2.606498e-003
4.124277019337264e-004	-5.862506e-003	3.790835e-003
4.164277019336193e-004	-7.594988e-003	4.915388e-003
4.204277019335123e-004	-9.207707e-003	5.962423e-003
4.244277019334053e-004	-1.067522e-002	6.915426e-003
4.284277019332983e-004	-1.197438e-002	7.759369e-003
4.324277019331912e-004	-1.308468e-002	8.480943e-003
4.364277019330842e-004	-1.398861e-002	9.068767e-003
4.404277019329772e-004	-1.467190e-002	9.513570e-003
4.444277019328702e-004	-1.512378e-002	9.808339e-003
4.484277019327632e-004	-1.533729e-002	9.948548e-003
4.524152042644225e-004	-1.530916e-002	9.932038e-003
4.564152042643155e-004	-1.503967e-002	9.758967e-003
4.604152042642085e-004	-1.453314e-002	9.432114e-003
4.644152042641014e-004	-1.379738e-002	8.956511e-003
4.684152042639944e-004	-1.284401e-002	8.339658e-003
4.724152042638874e-004	-1.168805e-002	7.591285e-003
4.764152042637804e-004	-1.034776e-002	6.723193e-003
4.804152042636734e-004	-8.844282e-003	5.749071e-003
4.844152042635663e-004	-7.201330e-003	4.684283e-003
4.884152042634593e-004	-5.444824e-003	3.545621e-003
4.924152042633523e-004	-3.602474e-003	2.351043e-003
5.004152042631382e-004	2.226262e-004	-1.299223e-004
5.044152042630312e-004	2.145048e-003	-1.377182e-003
5.084152042629242e-004	4.033609e-003	-2.602724e-003
5.124152042628172e-004	5.858531e-003	-3.787218e-003
5.164152042627102e-004	7.591038e-003	-4.911986e-003
5.204152042626031e-004	9.203814e-003	-5.959289e-003
5.244152042624961e-004	1.067143e-002	-6.912611e-003
5.284152042623891e-004	1.197076e-002	-7.756916e-003
5.324152042622821e-004	1.308131e-002	-8.478891e-003
5.364152042621750e-004	1.398559e-002	-9.067148e-003
5.404152042620680e-004	1.466933e-002	-9.512410e-003
5.444152042619610e-004	1.512176e-002	-9.807657e-003
5.484152042618540e-004	1.533582e-002	-9.948277e-003
5.524105494576492e-004	1.530817e-002	-9.932071e-003
5.564105494575422e-004	1.503918e-002	-9.759258e-003
5.604105494574352e-004	1.453312e-002	-9.432582e-003
5.644105494573282e-004	1.379790e-002	-8.957149e-003
5.684105494572211e-004	1.284510e-002	-8.340456e-003
5.724105494571141e-004	1.168975e-002	-7.592228e-003
5.764105494570071e-004	1.035005e-002	-6.724267e-003
5.804105494569001e-004	8.847125e-003	-5.750260e-003
5.844105494567931e-004	7.204669e-003	-4.685568e-003
5.884105494566860e-004	5.448574e-003	-3.546982e-003
5.924105494565790e-004	3.606528e-003	-2.352458e-003
6.004105494563650e-004	-2.183363e-004	1.284658e-004
6.044105494562579e-004	-2.140839e-003	1.375740e-003
6.084105494561509e-004	-4.029610e-003	2.601318e-003
6.124105494560439e-004	-5.854860e-003	3.785871e-003
6.164105494559369e-004	-7.587797e-003	4.910719e-003
6.204105494558299e-004	-9.201086e-003	5.958122e-003
6.244105494557228e-004	-1.066927e-002	6.911562e-003
6.284105494556158e-004	-1.196920e-002	7.756003e-003
6.324105494555088e-004	-1.308035e-002	8.478126e-003
6.364105494554018e-004	-1.398520e-002	9.066544e-003
6.404105494552947e-004	-1.466946e-002	9.511978e-003
6.444105494551877e-004	-1.512234e-002	9.807402e-003
6.484105494550807e-004	-1.533673e-002	9.948175e-003
6.524088157173758e-004	-1.530924e-002	9.932084e-003
6.564088157172687e-004	-1.504029e-002	9.759367e-003
6.604088157171617e-004	-1.453414e-002	9.432756e-003
6.644088157170547e-004	-1.379874e-002	8.957386e-003
6.684088157169477e-004	-1.284570e-002	8.340752e-003
6.724088157168406e-004	-1.169006e-002	7.592579e-003
6.764088157167336e-004	-1.035004e-002	6.724667e-003
6.804088157166266e-004	-8.846804e-003	5.750703e-003
6.844088157165196e-004	-7.204053e-003	4.686047e-003
6.884088157164126e-004	-5.447708e-003	3.547489e-003
6.924088157163055e-004	-3.605472e-003	2.352985e-003
7.004088157160915e-004	2.195427e-004	-1.279234e-004
7.044088157159845e-004	2.141994e-003	-1.375203e-003
7.084088157158774e-004	4.030634e-003	-2.600794e-003
7.124088157157704e-004	5.855680e-003	-3.785369e-003
7.164088157156634e-004	7.588357e-003	-4.910247e-003
7.204088157155564e-004	9.201345e-003	-5.957688e-003
7.244088157154494e-004	1.066922e-002	-6.911172e-003
7.284088157153423e-004	1.196883e-002	-7.755662e-003
7.324088157152353e-004	1.307970e-002	-8.477842e-003
7.364088157151283e-004	1.398431e-002	-9.066320e-003
7.404088157150213e-004	1.466842e-002	-9.511817e-003
7.444088157149142e-004	1.512122e-002	-9.807307e-003
7.484088157148072e-004	1.533561e-002	-9.948137e-003
7.524081699590290e-004	1.530819e-002	-9.932088e-003
7.564081699589220e-004	1.503940e-002	-9.759407e-003
7.604081699588150e-004	1.453348e-002	-9.432822e-003
7.644081699587080e-004	1.379840e-002	-8.957474e-003
7.684081699586010e-004	1.284572e-002	-8.340863e-003
7.724081699584939e-004	1.169049e-002	-7.592710e-003
7.764081699583869e-004	1.035089e-002	-6.724816e-003
7.804081699582799e-004	8.848060e-003	-5.750868e-003
7.844081699581729e-004	7.205680e-003	-4.686225e-003
7.884081699580658e-004	5.449645e-003	-3.547678e-003
7.924081699579588e-004	3.607642e-003	-2.353182e-003
8.004081699577448e-004	-2.171908e-004	1.277213e-004
8.044081699576378e-004	-2.139704e-003	1.375002e-003
8.084081699575307e-004	-4.028505e-003	2.600599e-003
8.124081699574237e-004	-5.853801e-003	3.785182e-003
8.164081699573167e-004	-7.586802e-003	4.910071e-003
8.204081699572097e-004	-9.200169e-003	5.957525e-003
8.244081699571026e-004	-1.066845e-002	6.911026e-003
8.284081699569956e-004	-1.196848e-002	7.755536e-003
8.324081699568886e-004	-1.307975e-002	8.477735e-003
8.364081699567816e-004	-1.398473e-002	9.066236e-003
8.404081699566746e-004	-1.466912e-002	9.511758e-003
8.444081699565675e-004	-1.512215e-002	9.807273e-003
8.484081699564605e-004	-1.533665e-002	9.948123e-003
8.524079294356390e-004	-1.530925e-002	9.932090e-003
8.564079294355320e-004	-1.504038e-002	9.759422e-003
8.604079294354250e-004	-1.453428e-002	9.432846e-003
8.644079294353180e-004	-1.379893e-002	8.957507e-003
8.684079294352110e-004	-1.284593e-002	8.340904e-003
8.724079294351039e-004	-1.169033e-002	7.592759e-003
8.764079294349969e-004	-1.035036e-002	6.724872e-003
8.804079294348899e-004	-8.847156e-003	5.750930e-003
8.844079294347829e-004	-7.204433e-003	4.686292e-003
8.884079294346758e-004	-5.448110e-003	3.547748e-003
8.924079294345688e-004	-3.605890e-003	2.353255e-003
9.004079294343548e-004	2.191130e-004	-1.276461e-004
9.044079294342478e-004	2.141569e-003	-1.374928e-003
9.084079294341407e-004	4.030219e-003	-2.600526e-003
9.124079294340337e-004	5.855283e-003	-3.785113e-003
9.164079294339267e-004	7.587983e-003	-4.910006e-003
9.204079294338197e-004	9.201000e-003	-5.957465e-003
9.244079294337126e-004	1.066891e-002	-6.910972e-003
9.284079294336056e-004	1.196856e-002	-7.755488e-003
9.324079294334986e-004	1.307947e-002	-8.477696e-003
9.364079294333916e-004	1.398414e-002	-9.066205e-003
9.404079294332846e-004	1.466829e-002	-9.511735e-003
9.444079294331775e-004	1.512115e-002	-9.807259e-003
9.484079294330705e-004	1.533557e-002	-9.948118e-003
9.524078398484015e-004	1.530819e-002	-9.932091e-003
9.564078398482945e-004	1.503943e-002	-9.759428e-003
9.604078398481875e-004	1.453353e-002	-9.432855e-003
9.644078398480804e-004	1.379846e-002	-8.957520e-003
9.684078398479734e-004	1.284581e-002	-8.340919e-003
9.724078398478664e-004	1.169059e-002	-7.592777e-003
9.764078398477594e-004	1.035101e-002	-6.724892e-003
9.804078398476523e-004	8.848188e-003	-5.750952e-003
9.844078398475453e-004	7.205818e-003	-4.686316e-003
9.884078398474383e-004	5.449791e-003	-3.547775e-003
9.924078398473313e-004	3.607794e-003	-2.353282e-003
9.964078398472243e-004	1.709329e-003	-1.121979e-003
9.999999999998899e-004	-2.038433e-005	-4.458841e-014
